CENTRO_FORMACION,CODIGO_CENTRO,LATITUD,LONGITUD,GEORREFERENCIACION,NOMBRE_REGIONAL,CODIGO_REGIONAL,NOMBRE_DEPARTAMENTO,CODIGO_DEPARTAMENTO,NOMBRE_MUNICIPIO,CODIGO_MUNICIPIO
CENTRO DE LOS RECURSOS NATURALES RENOVABLES - LA SALADA,9101,6.053527,-75.62891,POINT (-75.62891 6.053527),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO PARA EL DESARROLLO AGROECOLOGICO Y AGROINDUSTRIAL,9103,10.98772,-74.78277,POINT (-74.78277 10.98772),8,REGIONAL ATLANTICO,ATLANTICO,8,BARRANQUILLA,1
CENTRO AGROEMPRESARIAL Y MINERO,9104,10.373,-75.461,POINT (-75.461 10.373),13,REGIONAL BOLIVAR,BOLIVAR,13,CARTAGENA,1
CENTRO DE DESARROLLO AGROPECUARIO Y AGROINDUSTRIAL,9110,5.82556,-73.02979,POINT (-73.02979 5.82556),15,REGIONAL BOYACA,BOYACA,15,TUNJA,1
CENTRO PARA LA FORMACION CAFETERA,9112,5.0329,-75.4506,POINT (-75.4506 5.0329),17,REGIONAL CALDAS,CALDAS,17,MANIZALES,1
CENTRO AGROPECUARIO,9113,2.4403,-76.6128,POINT (-76.6128 2.4403),19,REGIONAL CAUCA,CAUCA,19,POPAYAN,1
CENTRO BIOTECNOLOGICO DEL CARIBE,9114,10.3989,-73.23897,POINT (-73.23897 10.3989),20,REGIONAL CESAR,CESAR,20,VALLEDUPAR,1
CENTRO AGROINDUSTRIAL DEL META,9117,4.062,-73.51457,POINT (-73.51457 4.062),50,REGIONAL META,META,50,VILLAVICENCIO,1
CENTRO ACUICOLA Y AGROINDUSTRIAL DE GAIRA,9118,11.18334,-74.21667,POINT (-74.21667 11.18334),47,REGIONAL MAGDALENA,MAGDALENA,47,SANTA MARTA,1
CENTRO DE FORMACION PARA EL DESARROLLO RURAL Y MINERO,9119,7.8993,-73.51457,POINT (-73.51457 7.8993),54,REGIONAL NORTE DE SANTANDER,NORTE DE SANTANDER,54,CUCUTA,1
CENTRO AGROINDUSTRIAL,9120,4.568,-75.651,POINT (-75.651 4.568),63,REGIONAL QUINDIO,NARINO,52,SAN PABLO,693
CENTRO ATENCION SECTOR AGROPECUARIO,9121,4.8144,-75.7007,POINT (-75.7007 4.8144),66,REGIONAL RISARALDA,RISARALDA,66,PEREIRA,1
CENTRO ATENCION SECTOR AGROPECUARIO,9122,6.99189,-73.0686,POINT (-73.0686 6.99189),68,REGIONAL SANTANDER,CORDOBA,23,MONTERIA,1
CENTRO AGROPECUARIO LA GRANJA,9123,4.171,-74.929,POINT (-74.929 4.171),73,REGIONAL TOLIMA,TOLIMA,73,IBAGUE,1
CENTRO AGROPECUARIO DE BUGA,9124,3.614127,-76.27486,POINT (-76.27486 3.614127),76,REGIONAL VALLE,ATLANTICO,8,SOLEDAD,758
CENTRO LATINOAMERICANO DE ESPECIES MENORES,9125,4.0456,-76.204,POINT (-76.204 4.0456),76,REGIONAL VALLE,VALLE DEL CAUCA,76,CALI,1
CENTRO NAUTICO PESQUERO DE BUENAVENTURA,9126,3.88179,-77.041527,POINT (-77.041527 3.88179),76,REGIONAL VALLE,CAUCA,19,GUAPI,318
CENTRO DEL DISENO Y MANUFACTURA DEL CUERO,9201,6.18026,-75.60519,POINT (-75.60519 6.18026),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO DE FORMACION EN DISENO CONFECCION Y MODA,9202,6.17996,-75.60518,POINT (-75.60518 6.17996),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO PARA EL DESARROLLO DEL HABITAT Y LA CONSTRUCCION,9203,6.301,-75.568,POINT (-75.568 6.301),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO DE TECNOLOGIA DE LA MANUFACTURA AVANZADA,9204,6.3016,-75.5686,POINT (-75.5686 6.3016),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO TECNOLOGICO DEL MOBILIARIO,9205,6.18073,-75.60519,POINT (-75.60519 6.18073),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO TEXTIL Y DE GESTION INDUSTRIAL,9206,6.302,-75.5685,POINT (-75.5685 6.302),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO NACIONAL COLOMBO ALEMAN,9207,10.941,-74.7825,POINT (-74.7825 10.941),8,REGIONAL ATLANTICO,ATLANTICO,8,BARRANQUILLA,1
CENTRO INDUSTRIAL Y DE AVIACION,9208,10.942,-74.7827,POINT (-74.7827 10.942),8,REGIONAL ATLANTICO,ATLANTICO,8,BARRANQUILLA,1
CENTRO DE TECNOLOGIAS PARA LA CONSTRUCCION Y LA MADERA,9209,4.5925,-74.0936,POINT (-74.0936 4.5925),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO DE ELECTRICIDAD ELECTRONICA Y TELECOMUNICACIONES,9210,4.596,-74.1108,POINT (-74.1108 4.596),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO DE GESTION INDUSTRIAL,9211,4.616575,-74.09186,POINT (-74.09186 4.616575),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO DE MANUFACTURA EN TEXTILES Y CUERO,9212,4.59613,-74.110877,POINT (-74.110877 4.59613),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO DE TECNOLOGIAS DEL TRANSPORTE,9213,4.5962,-74.1108,POINT (-74.1108 4.5962),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO METALMECANICO,9214,4.597,-74.10988,POINT (-74.10988 4.597),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO DE MATERIALES Y ENSAYOS,9215,4.59618,-74.1109,POINT (-74.1109 4.59618),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO DE DISENO Y METROLOGIA,9216,4.61647,-74.091875,POINT (-74.091875 4.61647),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO PARA LA INDUSTRIA DE LA COMUNICACION GRAFICA,9217,4.61638,-74.0918,POINT (-74.0918 4.61638),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO PARA LA INDUSTRIA PETROQUIMICA,9218,10.406,-75.503,POINT (-75.503 10.406),13,REGIONAL BOLIVAR,BOLIVAR,13,CARTAGENA,1
CENTRO DE AUTOMATIZACION INDUSTRIAL,9219,5.0331,-75.45105,POINT (-75.45105 5.0331),17,REGIONAL CALDAS,CALDAS,17,MANIZALES,1
CENTRO DE PROCESOS INDUSTRIALES Y CONSTRUCCION,9220,5.0333,-75.45103,POINT (-75.45103 5.0333),17,REGIONAL CALDAS,CALDAS,17,MANIZALES,1
CENTRO DE TELEINFORMATICA Y PRODUCCION INDUSTRIAL,9221,2.44037,-76.613,POINT (-76.613 2.44037),19,REGIONAL CAUCA,CAUCA,19,POPAYAN,1
CENTRO INDUSTRIAL Y DE ENERGIAS ALTERNATIVAS,9222,11.515587,-72.869466,POINT (-72.869466 11.515587),44,REGIONAL GUAJIRA,LA GUAJIRA,44,RIOHACHA,1
CENTRO DE DISENO E INNOVACION TECNOLOGICA INDUSTRIAL,9223,4.8936,-75.68,POINT (-75.68 4.8936),66,REGIONAL RISARALDA,RISARALDA,66,PEREIRA,1
CENTRO INDUSTRIAL DE MANTENIMIENTO INTEGRAL,9224,7.08077,-73.1668,POINT (-73.1668 7.08077),68,REGIONAL SANTANDER,BOGOTA D.C.,11,BOGOTA,1
CENTRO INDUSTRIAL DEL DISENO Y LA MANUFACTURA,9225,7.0646,-73.08605,POINT (-73.08605 7.0646),68,REGIONAL SANTANDER,SANTANDER,68,BUCARAMANGA,1
CENTRO DE INDUSTRIA Y CONSTRUCCION,9226,4.4317,-75.211,POINT (-75.211 4.4317),73,REGIONAL TOLIMA,CAQUETA,18,FLORENCIA,1
CENTRO DE ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL - CEAI,9227,3.4678,-76.5,POINT (-76.5 3.4678),76,REGIONAL VALLE,CAUCA,19,SANTANDER DE QUILICHAO,698
CENTRO DE LA CONSTRUCCION,9228,3.441,-76.506,POINT (-76.506 3.441),76,REGIONAL VALLE,VALLE DEL CAUCA,76,CALI,1
CENTRO DE DISENO TECNOLOGICO INDUSTRIAL,9229,3.4674,-76.5,POINT (-76.5 3.4674),76,REGIONAL VALLE,VALLE DEL CAUCA,76,CALI,1
CENTRO NACIONAL DE ASISTENCIA TECNICA A LA INDUSTRIA - ASTIN,9230,3.467,-76.5,POINT (-76.5 3.467),76,REGIONAL VALLE,VALLE DEL CAUCA,76,CALI,1
CENTRO PARA EL DESARROLLO TECNOLOGICO DE LA CONSTRUCCION Y LA INDUSTRIA,9231,4.57,-75.65,POINT (-75.65 4.57),63,REGIONAL QUINDIO,QUINDIO,63,ARMENIA,1
CENTRO DE COMERCIO,9301,6.2548,-75.5753,POINT (-75.5753 6.2548),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO DE COMERCIO Y SERVICIOS,9302,10.987672,-74.783447,POINT (-74.783447 10.987672),8,REGIONAL ATLANTICO,ATLANTICO,8,BARRANQUILLA,1
CENTRO DE GESTION DE MERCADOS LOGISTICA Y TECNOLOGIAS DE LA INFORMACION,9303,4.6557,-74.066,POINT (-74.066 4.6557),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO DE COMERCIO Y SERVICIOS,9304,10.3736,-75.46,POINT (-75.46 10.3736),13,REGIONAL BOLIVAR,BOLIVAR,13,CARTAGENA,1
CENTRO DE COMERCIO Y SERVICIOS,9306,5.0332,-75.4508,POINT (-75.4508 5.0332),17,REGIONAL CALDAS,CALDAS,17,MANIZALES,1
CENTRO DE COMERCIO Y SERVICIOS,9307,2.4402,-76.6127,POINT (-76.6127 2.4402),19,REGIONAL CAUCA,CAUCA,19,POPAYAN,1
CENTRO DE COMERCIO Y SERVICIOS,9308,4.8141,-75.7003,POINT (-75.7003 4.8141),66,REGIONAL RISARALDA,RISARALDA,66,PEREIRA,1
CENTRO DE SERVICIOS EMPRESARIALES Y TURISTICOS,9309,7.133,-73.1198,POINT (-73.1198 7.133),68,REGIONAL SANTANDER,CESAR,20,SAN ALBERTO,710
CENTRO DE COMERCIO Y SERVICIOS,9310,4.432,-75.21,POINT (-75.21 4.432),73,REGIONAL TOLIMA,HUILA,41,NEIVA,1
CENTRO DE GESTION TECNOLOGICA DE SERVICIOS,9311,3.46789,-76.5,POINT (-76.5 3.46789),76,REGIONAL VALLE,VALLE DEL CAUCA,76,CALI,1
CENTRO DE SERVICIOS DE SALUD,9401,6.255,-75.57468,POINT (-75.57468 6.255),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO DE SERVICIOS Y GESTION EMPRESARIAL,9402,6.256,-75.566,POINT (-75.566 6.256),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO DE FORMACION DE TALENTO HUMANO EN SALUD,9403,4.6316,-74.0635,POINT (-74.0635 4.6316),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO DE GESTION ADMINISTRATIVA,9404,4.603,-74.07999,POINT (-74.07999 4.603),11,REGIONAL DISTRITO CAPITAL,ANTIOQUIA,5,MEDELLIN,1
CENTRO DE SERVICIOS FINANCIEROS,9405,4.652,-74.0628,POINT (-74.0628 4.652),11,REGIONAL DISTRITO CAPITAL,ANTIOQUIA,5,ITAGUI,360
COMPLEJO TECNOLOGICO MINERO AGROEMPRESARIAL,9502,6.49275,-74.4178,POINT (-74.4178 6.49275),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO DE LA INNOVACION LA AGROINDUSTRIA Y LA AVIACION,9503,6.321175,-75.37142,POINT (-75.37142 6.321175),5,REGIONAL ANTIOQUIA,ANTIOQUIA,5,MEDELLIN,1
CENTRO DE FORMACION EN ACTIVIDAD FISICA Y CULTURA,9508,4.61788,-74.1589,POINT (-74.1589 4.61788),11,REGIONAL DISTRITO CAPITAL,BOGOTA D.C.,11,BOGOTA,1
CENTRO DE DESARROLLO AGROINDUSTRIAL Y EMPRESARIAL,9509,5.00638,-74.4755,POINT (-74.4755 5.00638),25,REGIONAL CUNDINAMARCA,BOGOTA D.C.,11,BOGOTA,1
